Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1000uF,CP_Elec_8x10,171.248,-131.216,180.0,bottom
C2,0.1uF,C_0603_1608Metric,126.05,-95.31,90.0,top
C3,0.1uF,C_0603_1608Metric,124.97,-99.06,180.0,top
C4,0.1uF,C_0603_1608Metric,136.330007,-125.396673,90.0,top
C5,0.1uF,C_0603_1608Metric,153.41102,-122.62358,180.0,top
C6,0.1uF,C_0603_1608Metric,160.13684,-116.53256,90.0,top
C7,0.1uF,C_0603_1608Metric,159.08518,-99.86518,0.0,top
C8,0.1uF,C_0603_1608Metric,154.3812,-83.6168,180.0,top
C9,0.1uF,C_0603_1608Metric,178.05136,-83.67522,180.0,top
C10,0.1uF,C_0603_1608Metric,182.89788,-89.916,180.0,top
C11,0.1uF,C_0603_1608Metric,197.22338,-109.54502,90.0,top
C12,0.1uF,C_0603_1608Metric,169.61104,-106.69788,90.0,top
C13,0.1uF,C_0603_1608Metric,211.02584,-106.61396,180.0,top
C14,0.1uF,C_0603_1608Metric,206.04,-111.99,-90.0,top
C15,0.1uF,C_0603_1608Metric,206.97454,-135.77062,180.0,top
C16,0.1uF,C_0603_1608Metric,131.68386,-147.39366,180.0,top
D1,Green,LED_D3.0mm,174.249,-121.818,180.0,bottom
D2,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,108.673,-91.0336,0.0,top
D3,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,116.14,-91.008,0.0,top
D4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,123.608,-91.0084,0.0,top
D5,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,111.822,-96.9008,0.0,top
D6,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,119.685,-97.028,0.0,top
D7,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,141.794,-88.3668,0.0,top
D8,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,149.137,-88.3668,0.0,top
D9,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,149.188,-82.0164,0.0,top
D10,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,163.22,-82.0928,0.0,top
D11,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,172.962,-82.0672,0.0,top
D12,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,177.636,-88.3156,0.0,top
D13,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,157.418,-96.2912,0.0,top
D14,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,164.53,-96.2912,0.0,top
D15,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,157.621,-104.318,0.0,top
D16,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,165.088,-104.318,0.0,top
D17,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,157.672,-112.192,0.0,top
D18,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,165.139,-112.141,0.0,top
D19,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,133.897,-120.98,0.0,top
D20,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,141.314,-120.98,0.0,top
D21,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,148.324,-121.031,0.0,top
D22,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,104.445,-145.745,0.0,top
D23,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,111.85,-145.771,0.0,top
D24,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,119.114,-145.77,0.0,top
D25,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,126.43,-145.745,0.0,top
D26,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,196.534,-105.131,0.0,top
D27,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,205.627,-105.029,0.0,top
D28,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,201.563,-110.668,0.0,top
D29,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,201.676,-135.382,0.0,top
D30,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,222.961,-104.064,0.0,top
D31,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,223.0,-109.804,0.0,top
D32,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,223.0,-115.494,0.0,top
D33,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,223.102,-121.183,0.0,top
J1,Mini-Fit Jr. 2x02,Molex_Mini-Fit_Jr_5566-04A_2x02_P4.20mm_Vertical,147.97,-133.45,0.0,bottom
J2,Mini-Fit Jr. 2x02,Molex_Mini-Fit_Jr_5566-04A_2x02_P4.20mm_Vertical,160.86,-133.43,0.0,bottom
R1,470,R_0603_1608Metric,170.282,-121.818,180.0,top
