Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,LED,WS2812-2020,202.565,-45.847,0,top
D2,LED,WS2812-2020,198.501,-44.577,0,top
D3,LED,WS2812-2020,194.31,-45.847,0,top
D4,LED,WS2812-2020,166.243,-50.546,90,top
D5,LED,WS2812-2020,166.243,-55.118,90,top
D6,LED,WS2812-2020,166.243,-65.786,90,top
D7,LED,WS2812-2020,166.243,-70.358,90,top
D8,LED,WS2812-2020,166.243,-81.026,90,top
D9,LED,WS2812-2020,166.243,-85.598,90,top
D10,LED,WS2812-2020,166.243,-96.266,90,top
D11,LED,WS2812-2020,166.243,-100.584,90,top
D12,LED,WS2812-2020,195.199,-102.997,180,top
D13,LED,WS2812-2020,199.263,-101.727,180,top
D14,LED,WS2812-2020,203.327,-102.997,180,top
D15,LED,WS2812-2020,166.243,-111.506,90,top
D16,LED,WS2812-2020,166.243,-116.078,90,top
D17,LED,WS2812-2020,166.243,-126.746,90,top
D18,LED,WS2812-2020,166.243,-131.318,90,top
D19,LED,WS2812-2020,155.067,-131.318,270,top
D20,LED,WS2812-2020,155.067,-126.746,270,top
D21,LED,WS2812-2020,155.321,-116.078,270,top
D22,LED,WS2812-2020,155.321,-111.506,270,top
D23,LED,WS2812-2020,155.067,-100.838,270,top
D24,LED,WS2812-2020,155.067,-96.266,270,top
D25,LED,WS2812-2020,155.067,-85.598,270,top
D26,LED,WS2812-2020,155.067,-81.026,270,top
D27,LED,WS2812-2020,155.067,-70.358,270,top
D28,LED,WS2812-2020,155.067,-65.786,270,top
D29,LED,WS2812-2020,155.067,-54.864,270,top
D30,LED,WS2812-2020,155.067,-50.546,270,top
D31,LED,WS2812-2020,132.715,-45.085,90,top
D32,LED,WS2812-2020,127.635,-46.355,90,top
D33,LED,WS2812-2020,122.555,-45.085,90,top
D34,LED,WS2812-2020,117.475,-46.355,90,top
D35,LED,WS2812-2020,112.395,-45.085,90,top
D36,LED,WS2812-2020,107.315,-46.355,90,top
D37,LED,WS2812-2020,102.235,-45.085,90,top
D38,LED,WS2812-2020,97.155,-46.355,90,top
D39,LED,WS2812-2020,92.075,-45.085,90,top
